dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	2	15	95	5	1867776216	1887436884	19660668	86231	1.976529
ERR1203383	PE	1	2	16	96	0	1887436884	1907097780	19660896	86232	1.888173
ERR1203383	PE	1	2	17	103	1	2025062472	2044723368	19660896	86232	1.757704
ERR1203383	PE	1	2	18	110	2	2162688060	2182348956	19660896	86232	1.76812
ERR1203383	PE	1	2	19	117	3	2300313700	2319974540	19660840	84745	1.860603
ERR1203383	PE	1	2	20	124	4	2437939348	2457600188	19660840	84745	1.560605
ERR1203383	PE	1	2	21	131	5	2575564996	2595225604	19660608	84744	1.832223
ERR1203383	PE	1	2	22	132	0	2595225604	2614886444	19660840	84745	1.980989
ERR1203383	PE	1	2	23	139	1	2732851252	2752512092	19660840	84745	1.962748
ERR1203383	PE	1	2	24	146	2	2870476900	2890137740	19660840	84745	2.034161
ERR1203383	PE	1	2	25	153	3	3008102548	3027763388	19660840	84745	2.232681
ERR1203383	PE	1	2	26	160	4	3145728196	3150643348	4915152	21186	0.616209
ERR1203383	PE	1	2	27	167	5	3180134492	3185049644	4915152	21186	0.560787
ERR1203383	PE	1	2	28	168	0	3185049644	3189965028	4915384	21187	0.543257
ERR1203383	PE	1	2	29	175	1	3219456172	3224371324	4915152	21186	0.702561
ERR1203383	PE	1	2	30	182	2	3253862468	3258777620	4915152	21186	0.513633
ERR1203383	PE	1	2	31	189	3	3288268996	3293184148	4915152	21186	0.490761
ERR1203383	PE	1	2	32	196	4	3322675292	3327590444	4915152	21186	0.627994
ERR1203383	PE	1	2	33	203	5	3357081820	3361996972	4915152	21186	0.743173
ERR1203383	PE	1	2	34	204	0	3361996972	3366912124	4915152	21186	0.646144
ERR1203383	PE	1	2	35	211	1	3396403268	3401318420	4915152	21186	0.52044
ERR1203383	PE	1	2	36	218	2	3430809796	3435724948	4915152	21186	0.64723
ERR1203383	PE	1	2	37	225	3	3443097676	3444326580	1228904	5297	0.253562
ERR1203383	PE	1	2	38	232	4	3451699308	3452928212	1228904	5297	0.213589
ERR1203383	PE	1	2	39	239	5	3460300940	3461529612	1228672	5296	0.149085
ERR1203383	PE	1	2	40	240	0	3461529612	3462758516	1228904	5297	0.13021
ERR1203383	PE	1	2	41	247	1	3470131244	3471360148	1228904	5297	0.261552
ERR1203383	PE	1	2	42	254	2	3478732876	3479961780	1228904	5297	0.986844
ERR1203383	PE	1	2	43	261	3	3487334508	3488563412	1228904	5297	2.624796
ERR1203383	PE	1	2	44	262	4	3488563412	3489792084	1228672	5296	3.790289
ERR1203383	PE	1	3	0	3	3	58982556	78643260	19660704	87771	2.258064
ERR1203383	PE	1	3	1	10	4	196608156	216268860	19660704	87771	1.709775
ERR1203383	PE	1	3	2	17	5	334233624	353894520	19660896	86232	1.75025
ERR1203383	PE	1	3	3	18	0	353894520	373555416	19660896	86232	1.909847
