# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	11102
# calls	710528
# total_dp_cells	578638455
# total_rows	23510511
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	60559	57733	135286	297264	159686	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52439	40800	129328	333410	154315	185	47	4	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	710528	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	49874	54477	208019	81505	153408	72146	78621	12478	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
228	34	109	100	34	56	1593	66
229	42	79	100	42	79	2652	75
230	49	93	100	49	71	3010	61
231	8	79	100	8	17	100	95
232	69	133	100	69	128	4186	65
233	17	92	100	17	35	442	90
234	32	59	100	32	59	1537	76
235	45	109	100	45	77	1866	38
236	9	63	100	9	19	126	95
237	31	71	100	31	63	1457	95
238	57	109	100	57	109	4438	90
239	31	106	100	31	56	1424	69
240	45	85	100	45	85	3045	90
241	55	105	100	55	105	4232	81
242	18	31	100	18	31	480	60
243	13	21	100	13	21	245	95
244	33	108	100	33	67	1650	95
245	20	35	100	20	35	595	66
246	45	85	100	45	85	3045	81
247	7	82	100	7	15	77	93
248	5	6	100	5	6	30	90
249	16	55	100	16	33	392	87
250	4	79	100	4	9	26	96
251	3	78	100	3	7	15	97
252	3	4	100	3	4	12	92
253	32	104	100	32	65	1552	95
254	32	104	100	32	65	1552	95
255	21	51	100	21	43	672	86
256	55	105	100	55	105	4188	90
257	20	95	100	20	41	610	54
258	6	81	100	6	13	57	94
259	25	45	100	25	45	935	81
260	7	82	100	7	15	77	93
261	71	137	100	71	137	5798	95
262	9	84	100	9	19	126	95
263	40	75	100	40	75	2399	78
264	20	95	100	20	41	610	95
265	20	35	100	20	35	595	66
266	9	84	100	9	19	126	91
267	15	60	100	15	31	345	90
268	31	57	100	31	57	1442	95
269	16	27	100	16	27	377	90
270	41	77	100	41	77	2524	86
271	64	123	100	64	123	4866	84
272	43	84	100	43	84	2792	77
273	14	73	100	14	29	301	95
274	30	85	100	30	61	1365	69
275	12	80	100	12	25	222	95
276	64	123	100	64	123	4883	90
277	4	79	100	4	9	26	96
278	21	37	100	21	37	657	87
279	21	37	100	21	37	657	67
280	9	84	100	9	19	126	90
281	5	49	100	5	11	40	95
282	7	64	100	7	15	77	95
283	60	115	100	60	115	4354	82
284	63	121	100	63	121	5135	86
285	42	79	100	42	79	2652	95
286	42	79	100	42	79	2652	95
287	28	51	100	28	51	1175	95
288	28	51	100	28	51	1175	95
289	4	5	100	4	5	20	96
290	31	57	100	31	57	1442	88
291	45	85	100	45	13	157	20
292	43	81	100	43	81	2704	78
293	79	153	100	79	103	3107	38
294	8	63	100	8	17	100	92
295	4	40	100	4	9	26	96
296	46	87	100	46	87	3182	92
297	43	81	100	43	81	2780	95
298	26	47	100	26	47	1012	51
299	27	49	100	27	49	1092	94
300	40	75	100	40	75	2404	80
301	19	33	100	19	33	536	90
302	40	75	100	40	75	2405	86
303	39	114	100	39	79	2301	95
304	22	97	100	22	45	737	90
305	3	4	100	3	4	12	39
306	28	91	100	28	57	1190	72
307	39	73	100	39	68	2079	44
308	39	73	100	39	68	2079	44
309	37	112	100	37	75	2072	90
310	29	53	100	29	53	1261	85
311	39	73	100	39	73	2286	95
312	8	74	100	8	17	100	92
313	8	74	100	8	17	100	92
314	40	115	100	40	81	2420	95
315	62	119	100	62	119	5008	90
316	11	17	100	11	17	172	84
317	15	68	100	15	31	345	90
318	9	62	100	9	19	126	95
319	26	47	100	26	47	1012	95
320	30	55	100	30	55	1350	95
321	16	85	100	16	33	392	90
322	16	85	100	16	33	392	95
323	23	41	100	23	41	790	95
324	56	107	100	56	85	3172	53
325	20	35	100	20	35	595	53
326	23	41	100	23	41	790	76
327	39	73	100	39	73	2238	67
328	27	102	100	27	55	1107	93
329	22	39	100	22	39	722	95
330	50	95	100	50	95	3684	95
331	5	6	100	5	6	30	95
332	7	59	100	7	15	77	51
333	42	79	100	42	79	2652	80
334	23	41	100	23	41	790	95
335	23	41	100	23	41	790	90
336	44	83	100	44	83	2911	87
