# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	3351
# calls	214440
# total_dp_cells	104366290
# total_rows	5602190
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	23037	26708	106355	58340	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	24356	27328	110338	51203	996	167	45	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	214440	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	19849	24226	73960	29697	31583	32898	2227	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
632	15	25	100	15	25	330	52
633	18	31	100	18	31	480	70
634	30	55	100	30	55	1218	45
635	48	91	100	48	18	237	27
636	15	25	100	15	25	330	46
637	48	91	100	48	72	1418	28
638	7	9	100	7	9	53	21
639	15	68	100	15	31	345	57
640	9	13	100	9	13	111	70
641	48	91	100	48	24	414	22
642	30	56	100	30	56	1355	45
643	29	53	100	29	17	233	20
644	34	63	100	34	63	1292	35
645	15	65	100	15	31	345	61
646	31	57	100	31	16	260	22
647	15	25	100	15	15	144	20
648	26	47	100	26	11	104	19
649	12	19	100	12	19	207	38
650	6	28	100	6	13	57	69
651	16	27	100	16	27	377	64
652	25	45	100	25	12	140	19
653	34	63	100	34	13	160	19
654	25	45	100	25	14	149	19
655	37	69	100	37	11	116	19
656	19	33	100	19	10	100	19
657	6	7	100	6	7	42	43
658	11	61	100	11	23	187	70
659	37	69	100	37	37	668	38
660	37	69	100	37	38	1173	38
661	32	59	100	32	12	123	19
662	1	2	100	1	2	2	62
663	23	41	100	23	14	171	19
664	20	35	100	20	27	386	21
665	25	45	100	25	17	222	21
666	22	39	100	22	20	319	24
667	38	71	100	38	15	191	20
668	18	31	100	18	31	480	66
669	29	53	100	29	53	1261	60
670	22	72	100	22	45	737	60
671	6	7	100	6	7	42	67
672	30	55	100	30	55	1350	50
673	27	49	100	27	19	306	27
674	19	33	100	19	15	169	20
675	21	37	100	21	37	594	27
676	27	49	100	27	19	306	27
677	33	61	100	33	31	704	34
678	27	49	100	27	19	306	27
679	27	49	100	27	18	322	27
680	19	33	100	19	11	157	19
681	27	49	100	27	19	354	27
682	27	49	100	27	19	306	27
683	27	49	100	27	18	322	27
684	37	69	100	37	69	1940	53
685	41	77	100	41	11	125	20
686	34	63	100	34	15	147	20
687	22	39	100	22	39	722	61
688	45	85	100	45	11	134	20
689	22	39	100	22	39	722	61
690	27	49	100	27	19	306	27
691	54	103	100	54	16	244	20
692	37	69	100	37	69	1940	53
693	31	57	100	31	57	1438	60
694	27	49	100	27	19	306	27
695	21	37	100	21	37	630	30
696	27	49	100	27	18	298	27
697	22	39	100	22	39	722	61
698	21	71	100	21	43	672	70
699	22	39	100	22	39	722	58
700	22	39	100	22	39	722	61
701	17	29	100	17	20	266	30
702	21	37	100	21	37	630	30
703	27	49	100	27	19	353	27
704	26	47	100	26	47	1012	70
705	21	37	100	21	32	580	44
706	22	39	100	22	39	722	61
707	2	3	100	2	3	6	73
708	22	39	100	22	39	722	61
709	23	41	100	23	11	94	20
710	44	83	100	44	16	240	24
711	50	95	100	50	24	410	23
712	21	37	100	21	37	630	30
713	27	49	100	27	19	306	27
714	49	93	100	49	14	176	20
715	54	103	100	54	26	474	21
716	22	39	100	22	39	722	61
717	8	11	100	8	11	85	20
718	7	9	100	7	9	62	27
719	27	49	100	27	19	293	27
720	21	37	100	21	37	581	27
721	32	59	100	32	15	171	20
722	54	103	100	54	14	189	19
723	8	11	100	8	11	85	61
724	25	45	100	25	45	931	52
725	19	33	100	19	13	139	19
726	35	65	100	35	12	188	19
727	32	59	100	32	17	232	20
728	34	63	100	34	63	1685	65
729	12	19	100	12	19	207	35
730	12	19	100	12	19	207	35
731	14	64	100	14	29	301	70
732	4	5	100	4	5	20	52
733	22	39	100	22	15	178	19
734	52	99	100	52	21	408	23
735	18	31	100	18	12	122	19
736	21	37	100	21	37	657	44
737	20	35	100	20	12	110	21
738	26	47	100	26	28	511	34
739	20	35	100	20	35	595	60
740	6	7	100	6	7	42	28
741	6	7	100	6	7	42	28
742	49	93	100	49	17	212	22
743	29	53	100	29	14	151	19
744	6	7	100	6	7	42	29
745	34	63	100	34	45	1278	43
746	1	2	100	1	2	2	74
747	21	37	100	21	37	657	70
748	28	51	100	28	51	1175	47
749	28	56	100	28	56	1190	50
750	27	49	100	27	15	215	21
751	27	49	100	27	11	156	20
752	14	23	100	14	23	286	44
753	37	69	100	37	17	316	20
754	34	63	100	34	63	1732	70
755	46	87	100	46	14	170	20
756	24	43	100	24	15	168	19
757	29	55	100	29	55	1260	46
758	36	67	100	36	54	1292	33
759	7	9	100	7	9	62	40
760	14	23	100	14	23	286	53
761	2	3	100	2	3	6	73
762	37	69	100	37	15	180	21
763	35	65	100	35	14	160	19
764	25	45	100	25	13	187	19
765	41	77	100	41	20	303	24
766	20	35	100	20	35	595	58
767	7	9	100	7	9	62	46
768	55	105	100	55	105	2825	60
769	17	29	100	17	29	427	58
770	34	63	100	34	54	1571	42
771	16	66	100	16	33	392	70
772	30	55	100	30	17	236	21
773	49	93	100	49	13	175	20
774	22	72	100	22	45	737	70
775	13	21	100	13	15	114	19
776	29	53	100	29	53	1261	69
777	1	2	100	1	2	2	67
778	36	67	100	36	15	138	19
779	32	59	100	32	59	1525	50
780	33	61	100	33	61	1634	47
781	30	55	100	30	12	110	19
782	14	23	100	14	23	286	40
783	32	59	100	32	59	1536	65
784	17	34	100	17	34	442	58
