# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	7048
# calls	451066
# total_dp_cells	221984606
# total_rows	11862913
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	47934	57495	216640	128997	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52569	58080	225082	112993	1963	299	73	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	451066	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	41415	50883	153430	62827	67581	69520	5410	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
226	10	15	100	10	15	140	65
227	32	59	100	32	59	1537	70
228	8	11	100	8	11	85	48
229	32	61	100	32	61	1546	65
230	35	85	100	35	71	1854	70
231	29	53	100	29	53	1261	70
232	15	25	100	15	11	92	20
233	8	55	100	8	17	100	70
234	26	47	100	26	47	1012	70
235	9	13	100	9	13	111	60
236	26	47	100	26	47	1012	70
237	1	2	100	1	2	2	61
238	2	3	100	2	3	6	73
239	35	85	100	35	66	1667	47
240	35	85	100	35	71	1854	70
241	26	47	100	26	47	1012	70
242	13	21	100	13	21	245	65
243	25	45	100	25	45	935	61
244	30	55	100	30	55	1349	62
245	17	29	100	17	29	427	58
246	25	47	100	25	47	944	70
247	40	75	100	40	75	1720	51
248	24	74	100	24	49	876	60
249	24	74	100	24	49	876	70
250	21	71	100	21	43	672	60
251	14	64	100	14	29	301	63
252	15	66	100	15	31	345	57
253	4	5	100	4	5	20	24
254	10	15	100	10	15	140	23
255	31	81	100	31	63	1457	59
256	35	85	100	35	71	1841	70
257	37	87	100	37	75	1984	60
258	15	66	100	15	31	345	57
259	24	43	100	24	43	861	51
260	7	9	100	7	9	62	56
261	1	2	100	1	2	2	74
262	41	77	100	41	31	705	34
263	12	19	100	12	19	207	70
264	29	53	100	29	53	1230	45
265	11	61	100	11	23	187	70
266	6	7	100	6	7	42	69
267	20	35	100	20	35	595	70
268	14	23	100	14	23	286	61
269	14	23	100	14	23	286	30
270	40	75	100	40	75	1322	45
271	7	57	100	7	15	77	70
272	20	35	100	20	35	595	55
273	30	55	100	30	55	1350	65
274	30	55	100	30	55	1350	60
275	14	23	100	14	23	286	64
276	8	11	100	8	11	85	60
277	10	60	100	10	21	155	70
278	14	23	100	14	23	286	65
279	35	85	100	35	71	1854	65
280	3	4	100	3	4	12	72
281	14	23	100	14	23	286	65
282	30	55	100	30	55	1350	65
283	14	23	100	14	23	286	65
284	30	55	100	30	55	1350	60
285	30	55	100	30	55	1350	55
286	7	9	100	7	9	62	68
287	15	65	100	15	31	345	70
288	30	55	100	30	55	1350	55
289	31	57	100	31	18	277	21
290	30	55	100	30	55	1350	65
291	29	53	100	29	53	1261	70
292	24	43	100	24	13	128	19
293	37	69	100	37	69	1908	50
294	30	55	100	30	55	1350	60
295	10	60	100	10	21	155	70
296	43	81	100	43	81	2435	65
297	21	37	100	21	15	127	21
298	30	55	100	30	55	1350	65
299	22	39	100	22	34	659	38
300	30	55	100	30	55	1350	60
301	15	65	100	15	31	345	65
302	7	9	100	7	9	62	36
303	23	41	100	23	41	790	65
304	7	57	100	7	15	77	70
305	27	49	100	27	22	311	22
306	20	36	100	20	36	600	66
307	15	25	100	15	25	330	57
308	15	65	100	15	31	345	70
309	10	15	100	10	15	140	43
310	30	55	100	30	13	122	19
311	23	41	100	23	41	790	70
312	19	33	100	19	15	133	19
313	13	21	100	13	21	245	68
314	40	75	100	40	75	1713	50
315	30	80	100	30	61	1365	65
316	30	55	100	30	55	1350	65
317	30	55	100	30	55	1350	60
318	29	53	100	29	53	1261	70
319	27	49	100	27	13	114	22
320	40	75	100	40	12	160	20
321	17	29	100	17	15	151	19
322	35	65	100	35	64	1765	50
323	5	55	100	5	11	40	65
324	7	9	100	7	9	62	20
325	17	29	100	17	25	268	22
326	9	59	100	9	19	126	68
327	19	33	100	19	11	85	19
328	25	45	100	25	14	110	19
329	21	37	100	21	37	657	65
330	40	75	100	40	13	214	20
331	40	75	100	40	16	279	21
332	26	47	100	26	47	982	42
333	36	86	100	36	73	1926	70
334	20	35	100	20	19	174	20
335	7	9	100	7	9	62	33
336	45	95	100	45	86	2289	51
337	22	39	100	22	11	107	19
338	26	47	100	26	17	197	20
339	36	67	100	36	67	1914	65
340	34	63	100	34	57	1649	50
341	4	5	100	4	5	20	51
342	7	9	100	7	9	62	21
343	40	75	100	40	14	218	20
344	40	75	100	40	18	251	21
345	45	85	100	45	40	1186	35
346	22	72	100	22	41	731	43
347	24	43	100	24	11	120	20
348	55	105	100	55	13	217	20
349	21	37	100	21	11	132	19
350	55	105	100	55	14	223	20
351	27	49	100	27	40	941	48
352	1	2	100	1	2	2	69
353	27	49	100	27	49	1092	57
354	21	38	100	21	15	197	20
355	24	72	100	24	49	852	46
356	27	49	100	27	14	205	20
357	28	51	100	28	12	154	19
358	21	37	100	21	13	123	19
359	38	88	100	38	46	1525	42
360	9	60	100	9	19	126	50
361	33	61	100	33	15	132	19
362	26	47	100	26	14	218	20
363	12	62	100	12	25	222	70
364	18	31	100	18	21	311	22
365	3	4	100	3	4	12	19
366	24	43	100	24	13	139	20
367	40	75	100	40	75	1876	52
368	23	41	100	23	19	227	21
369	15	45	100	15	31	345	57
370	33	63	100	33	13	178	22
371	54	103	100	54	14	314	21
372	54	103	100	54	28	551	21
373	25	45	100	25	45	935	56
374	11	17	100	11	17	172	53
375	29	53	100	29	11	143	19
376	32	82	100	32	51	1367	44
377	55	105	100	55	19	229	21
378	24	43	100	24	11	138	19
379	18	31	100	18	31	480	70
380	37	69	100	37	34	838	38
381	14	64	100	14	29	301	70
382	45	85	100	45	19	233	21
383	8	11	100	8	11	85	65
384	25	45	100	25	19	227	23
385	54	104	100	54	14	254	21
386	24	43	100	24	22	383	27
387	35	65	100	35	42	1307	40
388	30	55	100	30	53	1164	39
389	29	79	100	29	59	1276	63
390	55	105	100	55	12	110	19
391	47	89	100	47	63	1304	28
392	15	25	100	15	25	330	60
393	20	35	100	20	18	235	24
394	17	29	100	17	14	174	19
395	21	37	100	21	17	161	19
396	15	65	100	15	31	345	55
397	21	109	100	21	43	672	59
398	41	79	100	41	21	245	24
399	11	61	100	11	23	187	70
400	26	47	100	26	19	217	22
401	19	33	100	19	33	536	52
402	21	37	100	21	13	179	19
403	40	75	100	40	16	193	20
404	20	35	100	20	13	141	20
405	25	45	100	25	45	934	39
406	30	55	100	30	22	388	20
407	51	97	100	51	19	297	24
408	29	53	100	29	12	119	20
409	27	49	100	27	20	254	21
410	35	65	100	35	11	131	20
411	31	57	100	31	13	137	19
412	20	35	100	20	14	123	19
413	31	57	100	31	17	136	20
414	22	72	100	22	45	737	60
415	20	35	100	20	17	175	20
416	3	53	100	3	7	15	72
417	52	251	100	52	14	244	23
418	20	35	100	20	11	132	19
419	54	103	100	54	14	200	20
420	11	61	100	11	23	187	70
421	32	59	100	32	14	184	19
422	26	47	100	26	14	159	19
423	26	47	100	26	13	95	19
424	35	65	100	35	11	131	20
425	32	59	100	32	15	214	21
426	37	69	100	37	14	185	19
427	5	55	100	5	11	40	70
428	37	69	100	37	16	140	20
429	20	35	100	20	35	570	35
430	35	65	100	35	15	179	20
431	29	53	100	29	18	198	20
432	20	35	100	20	12	130	19
433	21	37	100	21	11	120	19
434	29	53	100	29	12	151	20
435	24	43	100	24	14	161	20
436	34	63	100	34	63	1706	52
437	29	53	100	29	10	120	19
438	28	51	100	28	19	176	21
439	13	333	100	13	17	202	20
440	24	74	100	24	49	876	65
441	8	11	100	8	11	85	21
442	21	37	100	21	11	96	20
443	7	9	100	7	9	62	70
444	42	79	100	42	12	162	20
445	19	33	100	19	14	182	20
446	8	11	100	8	11	79	19
447	29	53	100	29	29	695	31
448	40	75	100	40	13	158	20
449	31	153	100	31	63	1457	44
450	17	29	100	17	29	427	70
451	3	4	100	3	4	12	20
452	29	53	100	29	11	107	19
453	1	2	100	1	2	2	19
454	27	77	100	27	55	1107	70
455	32	59	100	32	11	123	20
456	30	80	100	30	61	1365	52
457	6	7	100	6	7	37	19
458	14	23	100	14	15	164	20
459	27	49	100	27	20	343	20
460	30	55	100	30	12	156	19
461	50	95	100	50	10	140	19
462	31	57	100	31	57	1442	70
463	20	87	100	20	41	576	35
464	24	43	100	24	43	861	38
465	24	43	100	24	43	861	42
466	33	83	100	33	67	1650	70
467	31	57	100	31	20	324	21
468	20	35	100	20	17	142	19
469	28	51	100	28	16	166	20
470	44	83	100	44	16	233	19
471	25	45	100	25	13	144	19
472	28	51	100	28	12	138	19
473	3	4	100	3	4	12	67
474	12	19	100	12	19	207	65
475	12	19	100	12	19	207	65
476	12	19	100	12	19	207	64
477	14	23	100	14	23	286	57
478	16	66	100	16	33	392	65
479	35	65	100	35	17	193	21
480	35	65	100	35	16	194	22
481	30	55	100	30	55	1350	48
482	29	53	100	29	17	187	21
483	29	53	100	29	53	1209	46
484	14	23	100	14	23	286	47
485	52	99	100	52	20	222	20
486	13	21	100	13	21	245	70
487	1	2	100	1	2	2	23
488	32	59	100	32	14	142	19
489	3	4	100	3	4	12	45
490	8	11	100	8	11	85	70
491	36	67	100	36	10	118	19
492	14	64	100	14	29	301	67
493	23	41	100	23	41	790	70
494	37	69	100	37	13	148	20
495	35	65	100	35	17	198	22
496	26	47	100	26	12	148	19
497	4	54	100	4	9	26	66
498	24	43	100	24	13	168	20
499	26	47	100	26	19	226	21
500	24	43	100	24	13	159	19
501	26	47	100	26	22	421	31
502	47	89	100	47	18	372	27
503	30	55	100	30	20	317	20
504	32	59	100	32	59	1537	70
505	1	2	100	1	2	2	74
506	14	23	100	14	23	286	61
507	22	39	100	22	13	179	20
