variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
baseline_dedup	SRR7963242	PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	18000000000	16000000000	19000000000	17000000000	15000000000	18000000000	0	0	0	0	0	0	2442000000	2139000000	2666000000	118000	100000	172000	0	0	0	1157000000	1075000000	1241000000	1.058824
baseline_dedup	SRR7963242	PE	MATE_REF_FETCH	MATE_RESCUE	3	325000000	304000000	342000000	217000000	204000000	230000000	0	0	0	0	0	0	33000000	31000000	35000000	40000	36000	50000	0	0	0	35000000	32000000	37000000	1.497696
baseline_dedup	SRR7963242	PE	MATE_KSW_ALIGN	MATE_RESCUE	3	35000000000	32000000000	37000000000	28000000000	26000000000	30000000000	0	0	0	0	0	0	3327000000	3094000000	3546000000	126000	105000	193000	0	0	0	1378000000	1263000000	1464000000	1.250000
baseline_dedup	SRR7963242	PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	768000000	720000000	812000000	340000000	319000000	361000000	0	0	0	0	0	0	78000000	73000000	83000000	43000	35000	65000	0	0	0	68000000	63000000	71000000	2.258824
baseline_dedup	SRR7963242	PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	26000000000	24000000000	28000000000	22000000000	20000000000	23000000000	0	0	0	0	0	0	2509000000	2340000000	2661000000	46000	39000	64000	0	0	0	1011000000	924000000	1074000000	1.181818
baseline_dedup	SRR7963242	PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	515000000	470000000	553000000	219000000	199000000	235000000	0	0	0	0	0	0	50000000	45000000	54000000	4943	3560	8415	0	0	0	78000000	71000000	84000000	2.351598
baseline_dedup	SRR7963242	PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	7155000000	6528000000	7815000000	5427000000	4949000000	5924000000	0	0	0	0	0	0	645000000	589000000	705000000	2274	1878	3083	0	0	0	170000000	157000000	184000000	1.318408
baseline_dedup	SRR7963242	PE	MATE_DEDUP	MATE_RESCUE	3	21000000000	19000000000	24000000000	11000000000	10000000000	13000000000	0	0	0	0	0	0	1742000000	1585000000	2033000000	14000	6140	61000	0	0	0	3309000000	3027000000	3782000000	1.909091
optimized	ERR1203383	PE	WORKER_ALIGNMENT		0	8222000000	8198000000	8461000000	3256000000	3048000000	3535000000	2585	2094	3000	0	0	0	318000000	269000000	387000000	3168000	2671000	3575000	10	0	613	2445000000	2196000000	2587000000	2.525184
optimized	ERR1203383	PE	MEM_CHAIN	WORKER_ALIGNMENT	1	4326000000	3614000000	4823000000	1535000000	1288000000	1731000000	0	0	0	0	0	0	86000000	73000000	96000000	2977000	2493000	3364000	0	0	0	940000000	766000000	1053000000	2.818241
