cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
cross	SRR2496709	SE	CHAIN_BUILD_TREE_SEARCH	2.220e+08	0.4
cross	SRR2496709	SE	CHAIN_BUILD_MERGE	8.900e+07	0.2
cross	SRR2496709	SE	CHAIN_BUILD_INSERT	6.530e+08	1.3
cross	SRR2496709	SE	CHAIN_BUILD_FINALIZE	1.582e+09	3.0
cross	small_SRR7963242	PE	WORKER_ALIGNMENT	3.620e+11	99.7
cross	small_SRR7963242	PE	MEM_CHAIN	9.400e+10	25.9
cross	small_SRR7963242	PE	CHAIN_FILTER	1.400e+10	3.9
cross	small_SRR7963242	PE	CHAIN_EXTENSION	8.000e+10	22.0
cross	small_SRR7963242	PE	ALIGNMENT_FINALIZE	6.844e+09	1.9
cross	small_SRR7963242	PE	MATE_RESCUE	1.540e+11	42.4
cross	small_SRR7963242	PE	PAIRING	1.159e+09	0.3
cross	small_SRR7963242	PE	SAM_FORMAT	1.660e+11	45.7
cross	small_SRR7963242	PE	SAM_COPY	1.073e+09	0.3
cross	small_SRR7963242	PE	MEM_CHAIN_COLLECT	4.500e+10	12.4
cross	small_SRR7963242	PE	MEM_CHAIN_BUILD	4.900e+10	13.5
cross	small_SRR7963242	PE	CHAIN_EXTENSION_DP	6.200e+10	17.1
cross	small_SRR7963242	PE	MATE_REF_FETCH	1.455e+09	0.4
cross	small_SRR7963242	PE	MATE_KSW_ALIGN	1.140e+11	31.4
cross	small_SRR7963242	PE	KSW_QUERY_INIT_FORWARD	2.654e+09	0.7
cross	small_SRR7963242	PE	KSW_DP_FORWARD	8.100e+10	22.3
cross	small_SRR7963242	PE	KSW_QUERY_INIT_REVERSE	1.828e+09	0.5
cross	small_SRR7963242	PE	KSW_DP_REVERSE	2.800e+10	7.7
cross	small_SRR7963242	PE	MATE_DEDUP	3.300e+10	9.1
cross	small_SRR7963242	PE	DEDUP_SORT_END	1.200e+10	3.3
cross	small_SRR7963242	PE	DEDUP_REDUNDANCY	3.453e+09	1.0
cross	small_SRR7963242	PE	DEDUP_SORT_SCORE	1.800e+10	5.0
cross	small_SRR7963242	PE	MEM_COLLECT_FIRST	1.600e+10	4.4
cross	small_SRR7963242	PE	MEM_COLLECT_SPLIT	1.700e+10	4.7
cross	small_SRR7963242	PE	MEM_COLLECT_LAST	9.960e+09	2.7
cross	small_SRR7963242	PE	MEM_COLLECT_SORT	1.467e+09	0.4
cross	small_SRR7963242	PE	CHAIN_BUILD_REPETITIVE	4.300e+07	0.0
cross	small_SRR7963242	PE	CHAIN_BUILD_SA	3.600e+10	9.9
cross	small_SRR7963242	PE	CHAIN_BUILD_RID	3.000e+09	0.8
cross	small_SRR7963242	PE	CHAIN_BUILD_TREE_SEARCH	1.318e+09	0.4
cross	small_SRR7963242	PE	CHAIN_BUILD_MERGE	3.910e+08	0.1
cross	small_SRR7963242	PE	CHAIN_BUILD_INSERT	4.570e+09	1.3
cross	small_SRR7963242	PE	CHAIN_BUILD_FINALIZE	2.588e+09	0.7
cross	small_SRR7963242	SE	WORKER_ALIGNMENT	9.600e+10	99.1
cross	small_SRR7963242	SE	MEM_CHAIN	4.800e+10	49.6
cross	small_SRR7963242	SE	CHAIN_FILTER	6.073e+09	6.3
cross	small_SRR7963242	SE	CHAIN_EXTENSION	3.300e+10	34.1
cross	small_SRR7963242	SE	ALIGNMENT_FINALIZE	3.023e+09	3.1
cross	small_SRR7963242	SE	MATE_RESCUE	0.000e+00	0.0
cross	small_SRR7963242	SE	PAIRING	0.000e+00	0.0
cross	small_SRR7963242	SE	SAM_FORMAT	5.191e+09	5.4
cross	small_SRR7963242	SE	SAM_COPY	8.320e+08	0.9
cross	small_SRR7963242	SE	MEM_CHAIN_COLLECT	2.300e+10	23.8
cross	small_SRR7963242	SE	MEM_CHAIN_BUILD	2.500e+10	25.8
cross	small_SRR7963242	SE	CHAIN_EXTENSION_DP	2.500e+10	25.8
cross	small_SRR7963242	SE	MATE_REF_FETCH	0.000e+00	0.0
cross	small_SRR7963242	SE	MATE_KSW_ALIGN	0.000e+00	0.0
cross	small_SRR7963242	SE	KSW_QUERY_INIT_FORWARD	0.000e+00	0.0
cross	small_SRR7963242	SE	KSW_DP_FORWARD	0.000e+00	0.0
cross	small_SRR7963242	SE	KSW_QUERY_INIT_REVERSE	0.000e+00	0.0
cross	small_SRR7963242	SE	KSW_DP_REVERSE	0.000e+00	0.0
cross	small_SRR7963242	SE	MATE_DEDUP	0.000e+00	0.0
cross	small_SRR7963242	SE	DEDUP_SORT_END	0.000e+00	0.0
cross	small_SRR7963242	SE	DEDUP_REDUNDANCY	0.000e+00	0.0
cross	small_SRR7963242	SE	DEDUP_SORT_SCORE	0.000e+00	0.0
cross	small_SRR7963242	SE	MEM_COLLECT_FIRST	8.005e+09	8.3
cross	small_SRR7963242	SE	MEM_COLLECT_SPLIT	8.364e+09	8.6
cross	small_SRR7963242	SE	MEM_COLLECT_LAST	5.357e+09	5.5
cross	small_SRR7963242	SE	MEM_COLLECT_SORT	8.500e+08	0.9
cross	small_SRR7963242	SE	CHAIN_BUILD_REPETITIVE	2.900e+07	0.0
cross	small_SRR7963242	SE	CHAIN_BUILD_SA	1.800e+10	18.6
cross	small_SRR7963242	SE	CHAIN_BUILD_RID	1.454e+09	1.5
cross	small_SRR7963242	SE	CHAIN_BUILD_TREE_SEARCH	7.050e+08	0.7
cross	small_SRR7963242	SE	CHAIN_BUILD_MERGE	1.900e+08	0.2
cross	small_SRR7963242	SE	CHAIN_BUILD_INSERT	2.148e+09	2.2
cross	small_SRR7963242	SE	CHAIN_BUILD_FINALIZE	1.444e+09	1.5
