cfg	dataset	mode	kernel	old_cyc	new_cyc	d_pct	share_of_new_total_pct
single	SRR2496709	SE	SAM_COPY	3.226e+09	3.225e+09	-0.0	1.2
single	small_SRR7963242	PE	WORKER_ALIGNMENT	3.413e+12	2.106e+12	-38.3	99.8
single	small_SRR7963242	PE	MEM_CHAIN	6.010e+11	5.730e+11	-4.7	27.1
single	small_SRR7963242	PE	CHAIN_FILTER	1.160e+11	8.800e+10	-24.1	4.2
single	small_SRR7963242	PE	CHAIN_EXTENSION	4.710e+11	4.400e+11	-6.6	20.8
single	small_SRR7963242	PE	ALIGNMENT_FINALIZE	8.300e+10	3.300e+10	-60.2	1.6
single	small_SRR7963242	PE	MATE_RESCUE	2.065e+12	9.050e+11	-56.2	42.9
single	small_SRR7963242	PE	PAIRING	8.167e+09	5.717e+09	-30.0	0.3
single	small_SRR7963242	PE	SAM_FORMAT	2.134e+12	9.690e+11	-54.6	45.9
single	small_SRR7963242	PE	SAM_COPY	4.609e+09	4.703e+09	+2.0	0.2
single	small_SRR7963242	SE	WORKER_ALIGNMENT	6.130e+11	5.480e+11	-10.6	99.5
single	small_SRR7963242	SE	MEM_CHAIN	2.980e+11	2.860e+11	-4.0	51.9
single	small_SRR7963242	SE	CHAIN_FILTER	5.000e+10	3.900e+10	-22.0	7.1
single	small_SRR7963242	SE	CHAIN_EXTENSION	1.920e+11	1.790e+11	-6.8	32.5
single	small_SRR7963242	SE	ALIGNMENT_FINALIZE	3.900e+10	1.400e+10	-64.1	2.5
single	small_SRR7963242	SE	MATE_RESCUE	0.000e+00	0.000e+00	+nan	0.0
single	small_SRR7963242	SE	PAIRING	0.000e+00	0.000e+00	+nan	0.0
single	small_SRR7963242	SE	SAM_FORMAT	2.900e+10	2.800e+10	-3.4	5.1
single	small_SRR7963242	SE	SAM_COPY	2.546e+09	2.553e+09	+0.3	0.5
