cfg	dataset	mode	variant	kernel	cycle_avg
cross	SRR2496709	PE	old_p	CHAIN_FILTER	3555000000
cross	SRR2496709	PE	old_p	CHAIN_EXTENSION	20000000000
cross	SRR2496709	PE	old_p	ALIGNMENT_FINALIZE	1635000000
cross	SRR2496709	PE	old_p	MATE_RESCUE	31000000000
cross	SRR2496709	PE	old_p	PAIRING	1388000000
cross	SRR2496709	PE	old_p	SAM_FORMAT	44000000000
cross	SRR2496709	PE	old_p	SAM_COPY	829000000
cross	SRR2496709	SE	new_p	WORKER_ALIGNMENT	51000000000
cross	SRR2496709	SE	new_p	MEM_CHAIN	33000000000
cross	SRR2496709	SE	new_p	CHAIN_FILTER	1737000000
cross	SRR2496709	SE	new_p	CHAIN_EXTENSION	8579000000
cross	SRR2496709	SE	new_p	ALIGNMENT_FINALIZE	1096000000
cross	SRR2496709	SE	new_p	MATE_RESCUE	0
cross	SRR2496709	SE	new_p	PAIRING	0
cross	SRR2496709	SE	new_p	SAM_FORMAT	5573000000
cross	SRR2496709	SE	new_p	SAM_COPY	1048000000
cross	SRR2496709	SE	new_p	MEM_CHAIN_COLLECT	20000000000
cross	SRR2496709	SE	new_p	MEM_CHAIN_BUILD	13000000000
cross	SRR2496709	SE	new_p	CHAIN_EXTENSION_DP	5002000000
cross	SRR2496709	SE	new_p	MATE_REF_FETCH	0
cross	SRR2496709	SE	new_p	MATE_KSW_ALIGN	0
cross	SRR2496709	SE	new_p	KSW_QUERY_INIT_FORWARD	0
cross	SRR2496709	SE	new_p	KSW_DP_FORWARD	0
cross	SRR2496709	SE	new_p	KSW_QUERY_INIT_REVERSE	0
cross	SRR2496709	SE	new_p	KSW_DP_REVERSE	0
cross	SRR2496709	SE	new_p	MATE_DEDUP	0
cross	SRR2496709	SE	new_p	DEDUP_SORT_END	0
cross	SRR2496709	SE	new_p	DEDUP_REDUNDANCY	0
cross	SRR2496709	SE	new_p	DEDUP_SORT_SCORE	0
cross	SRR2496709	SE	new_p	MEM_COLLECT_FIRST	7940000000
cross	SRR2496709	SE	new_p	MEM_COLLECT_SPLIT	5376000000
cross	SRR2496709	SE	new_p	MEM_COLLECT_LAST	5210000000
cross	SRR2496709	SE	new_p	MEM_COLLECT_SORT	1396000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_REPETITIVE	50000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_SA	9178000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_RID	734000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_TREE_SEARCH	222000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_MERGE	89000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_INSERT	653000000
cross	SRR2496709	SE	new_p	CHAIN_BUILD_FINALIZE	1582000000
cross	SRR2496709	SE	old_p	WORKER_ALIGNMENT	57000000000
cross	SRR2496709	SE	old_p	MEM_CHAIN	37000000000
cross	SRR2496709	SE	old_p	CHAIN_FILTER	1802000000
cross	SRR2496709	SE	old_p	CHAIN_EXTENSION	10000000000
cross	SRR2496709	SE	old_p	ALIGNMENT_FINALIZE	822000000
cross	SRR2496709	SE	old_p	MATE_RESCUE	0
cross	SRR2496709	SE	old_p	PAIRING	0
cross	SRR2496709	SE	old_p	SAM_FORMAT	6233000000
cross	SRR2496709	SE	old_p	SAM_COPY	501000000
cross	small_SRR7963242	PE	new_p	WORKER_ALIGNMENT	362000000000
cross	small_SRR7963242	PE	new_p	MEM_CHAIN	94000000000
cross	small_SRR7963242	PE	new_p	CHAIN_FILTER	14000000000
cross	small_SRR7963242	PE	new_p	CHAIN_EXTENSION	80000000000
cross	small_SRR7963242	PE	new_p	ALIGNMENT_FINALIZE	6844000000
cross	small_SRR7963242	PE	new_p	MATE_RESCUE	154000000000
cross	small_SRR7963242	PE	new_p	PAIRING	1159000000
cross	small_SRR7963242	PE	new_p	SAM_FORMAT	166000000000
cross	small_SRR7963242	PE	new_p	SAM_COPY	1073000000
cross	small_SRR7963242	PE	new_p	MEM_CHAIN_COLLECT	45000000000
cross	small_SRR7963242	PE	new_p	MEM_CHAIN_BUILD	49000000000
cross	small_SRR7963242	PE	new_p	CHAIN_EXTENSION_DP	62000000000
cross	small_SRR7963242	PE	new_p	MATE_REF_FETCH	1455000000
cross	small_SRR7963242	PE	new_p	MATE_KSW_ALIGN	114000000000
cross	small_SRR7963242	PE	new_p	KSW_QUERY_INIT_FORWARD	2654000000
cross	small_SRR7963242	PE	new_p	KSW_DP_FORWARD	81000000000
cross	small_SRR7963242	PE	new_p	KSW_QUERY_INIT_REVERSE	1828000000
cross	small_SRR7963242	PE	new_p	KSW_DP_REVERSE	28000000000
cross	small_SRR7963242	PE	new_p	MATE_DEDUP	33000000000
cross	small_SRR7963242	PE	new_p	DEDUP_SORT_END	12000000000
cross	small_SRR7963242	PE	new_p	DEDUP_REDUNDANCY	3453000000
cross	small_SRR7963242	PE	new_p	DEDUP_SORT_SCORE	18000000000
cross	small_SRR7963242	PE	new_p	MEM_COLLECT_FIRST	16000000000
cross	small_SRR7963242	PE	new_p	MEM_COLLECT_SPLIT	17000000000
cross	small_SRR7963242	PE	new_p	MEM_COLLECT_LAST	9960000000
cross	small_SRR7963242	PE	new_p	MEM_COLLECT_SORT	1467000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_REPETITIVE	43000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_SA	36000000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_RID	3000000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_TREE_SEARCH	1318000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_MERGE	391000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_INSERT	4570000000
cross	small_SRR7963242	PE	new_p	CHAIN_BUILD_FINALIZE	2588000000
cross	small_SRR7963242	PE	old_p	WORKER_ALIGNMENT	448000000000
cross	small_SRR7963242	PE	old_p	MEM_CHAIN	103000000000
cross	small_SRR7963242	PE	old_p	CHAIN_FILTER	15000000000
cross	small_SRR7963242	PE	old_p	CHAIN_EXTENSION	84000000000
cross	small_SRR7963242	PE	old_p	ALIGNMENT_FINALIZE	5410000000
cross	small_SRR7963242	PE	old_p	MATE_RESCUE	227000000000
cross	small_SRR7963242	PE	old_p	PAIRING	1665000000
cross	small_SRR7963242	PE	old_p	SAM_FORMAT	240000000000
cross	small_SRR7963242	PE	old_p	SAM_COPY	702000000
cross	small_SRR7963242	SE	new_p	WORKER_ALIGNMENT	96000000000
